"input.source","input.name","input.ap","input.states","input.edges","input.transitions","input.acc_sets","input.scc","input.nondetstates","input.nondeterministic","input.alternating","tool","exit_status","exit_code","time","output.ap","output.states","output.edges","output.transitions","output.acc_sets","output.scc","output.nondetstates","output.nondeterministic","output.alternating"
"data/automatons/randaut.hoa:3204.1-3218.7",,2,3,3,3,0,3,0,0,0,"cat %H | build/bin/nba2dpa >%O","ok",0,0.481007,2,5,9,20,2,5,0,0,0
"data/automatons/randaut.hoa:3204.1-3218.7",,2,3,3,3,0,3,0,0,0,"autfilt","ok",0,0.00625151,2,3,3,3,0,3,0,0,0
"data/automatons/randaut.hoa:3219.1-3308.7",,3,27,54,54,0,1,3,1,0,"cat %H | build/bin/nba2dpa >%O","ok",0,2.51615,3,36,112,288,2,4,0,0,0
"data/automatons/randaut.hoa:3219.1-3308.7",,3,27,54,54,0,1,3,1,0,"autfilt","ok",0,0.00605125,3,27,54,54,0,1,3,1,0
"data/automatons/randaut.hoa:3309.1-3442.7",,2,38,87,87,0,2,15,1,0,"cat %H | build/bin/nba2dpa >%O","ok",0,11.2496,2,186,684,744,2,4,0,0,0
"data/automatons/randaut.hoa:3309.1-3442.7",,2,38,87,87,0,2,15,1,0,"autfilt","ok",0,0.00591786,2,38,87,87,0,2,15,1,0
"data/automatons/randaut.hoa:3443.1-3495.7",,2,15,29,29,0,1,3,1,0,"cat %H | build/bin/nba2dpa >%O","ok",0,1.20618,2,21,61,84,2,3,0,0,0
"data/automatons/randaut.hoa:3443.1-3495.7",,2,15,29,29,0,1,3,1,0,"autfilt","ok",0,0.00776337,2,15,29,29,0,1,3,1,0
"data/automatons/randaut.hoa:3496.1-3575.7",,3,24,47,47,0,3,2,1,0,"cat %H | build/bin/nba2dpa >%O","ok",0,1.76594,3,37,107,296,2,12,0,0,0
"data/automatons/randaut.hoa:3496.1-3575.7",,3,24,47,47,0,3,2,1,0,"autfilt","ok",0,0.00598457,3,24,47,47,0,3,2,1,0
"data/automatons/randaut.hoa:3576.1-3608.7",,3,10,14,14,0,2,1,1,0,"cat %H | build/bin/nba2dpa >%O","ok",0,0.927068,3,11,25,88,2,4,0,0,0
"data/automatons/randaut.hoa:3576.1-3608.7",,3,10,14,14,0,2,1,1,0,"autfilt","ok",0,0.00633871,3,10,14,14,0,2,1,1,0
"data/automatons/randaut.hoa:3609.1-3691.7",,2,25,49,49,0,1,5,1,0,"cat %H | build/bin/nba2dpa >%O","ok",0,1.48467,2,38,113,152,2,3,0,0,0
"data/automatons/randaut.hoa:3609.1-3691.7",,2,25,49,49,0,1,5,1,0,"autfilt","ok",0,0.00585311,2,25,49,49,0,1,5,1,0
"data/automatons/randaut.hoa:3692.1-3775.7",,1,25,50,50,0,1,13,1,0,"cat %H | build/bin/nba2dpa >%O","ok",0,10.5036,1,212,423,424,2,3,0,0,0
"data/automatons/randaut.hoa:3692.1-3775.7",,1,25,50,50,0,1,13,1,0,"autfilt","ok",0,0.00420768,1,25,50,50,0,1,13,1,0
